name,co2 uptake,co2 error,n2 uptake,n2 error
1546475_R_pacman,0,0,0,0
1546867_IA_pacman,0.1037832,0.01316962,0.07832205,0.004249726
1546867_R_pacman,0.08934139,0.0194968,0.06443898,0.005766515
1546870_IA_pacman,0.08728922,0.004804385,0.0804362,0.008800732
1546870_R_pacman,0.08107174,0.03773879,0.06687943,0.01206965
1546871_IA_pacman,0.086777,0.007553323,0.08021931,0.006142555
1546871_R_pacman,0.08592319,0.02817389,0.07606345,0.01518046
1546872_IA_pacman,0.08099491,0.01344835,0.07841999,0.005323774
1546872_R_pacman,0.07935097,0.01032756,0.06269282,0.00275829
1546878_IA_pacman,0.09547357,0.01393672,0.07697589,0.01196406
1546878_R_pacman,0.08340558,0.02135728,0.06385165,0.007057191
1547000_R_pacman,0.0273287,0.000866081,0.0468783,0.002726669
1547342_R_pacman,0.3000469,0.017112,0.1777089,0.007962281
1547402_A_pacman,0.02281199,0.001481907,0.0350286,0.001772081
1547402_R_pacman,0.03909855,0.00248049,0.04686274,0.002892923
1547718_F_pacman,0.1709121,0.03932586,0.1004221,0.01916483
1547718_R_pacman,0,0,0,0
1547886_A_pacman,0.1689677,0.008146556,0.1927848,0.006734017
1547886_R_pacman,0.1922072,0.01335502,0.1856976,0.003878943
1548032_F_pacman,1.126092,0.07890614,0.2631989,0.03040262
1548032_R_pacman,0,0,0,0
1548036_F_pacman,1.155419,0.02079788,0.2571105,0.02321697
1548036_R_pacman,0.7191936,0.1305786,0.2965661,0.06879043
1548217_R_pacman,0.4865859,0.06003923,0.1843138,0.02631036
1548220_F_pacman,0.4568988,0.04704489,0.1917105,0.02072565
1548220_R_pacman,0,0,0,0
1548243_F_pacman,0.3496452,0.06562252,0.20921,0.01559746
1548243_R_pacman,0,0,0,0
1548264_A_pacman,0.2588479,0.02052868,0.221326,0.009983717
1548264_R_pacman,0.2576812,0.01221495,0.217977,0.01082404
1548273_R_pacman,0.4387045,0.03884946,0.211422,0.007344965
1548276_F_pacman,0.422393,0.02485464,0.2198383,0.009603867
1548276_R_pacman,0,0,0,0
1548310_R_pacman,1.135269,0.1673532,0.09807955,0.01753386
1548335_R_pacman,0.07658431,0.002605026,0.09916272,0.005141318
1548396_A_pacman,0.1473202,0.009304265,0.1663476,0.005145332
1548396_R_pacman,0.3131056,0.04344175,0.1771934,0.002831639
1548413_F_pacman,0.02828641,0.00106832,0.03706903,0.001096059
1548413_R_pacman,0.00287019,0.001640949,0.00467083,0.001518251
1548414_R_pacman,0.02357787,0.001589649,0.03335376,0.002111409
1548556_F_pacman,0.2546054,0.06142997,0.121274,0.01189072
1548556_R_pacman,0,0,0,0
1548978_F_pacman,0.2431058,0.01562439,0.204475,0.009987022
1548978_R_pacman,0,0,0,0
1549535_IF_pacman,0.1646661,0.0441221,0.05488104,0.003101998
1549535_R_pacman,0,0,0,0
1549539_F_pacman,0.1776147,0.009087709,0.1475675,0.004374212
1549539_R_pacman,0,0,0,0
1549549_A_pacman,0.0910042,0.01041486,0.06996265,0.007314669
1549549_F_pacman,0.00448065,0.004804626,0.001931358,0.000723473
1549549_R_pacman,0,0,0,0
1549553_A_pacman,0.01408154,0.00291457,0.01604134,0.005167501
1549553_F_pacman,0.01016021,0.006296853,0.001231115,0.000241175
1549553_R_pacman,0,0,0,0
1550599_R_pacman,0.1136164,0.05267533,0.03766488,0.008751073
1550666_R_pacman,0.4437201,0.03433368,0.2404681,0.007615439
1550670_A_pacman,0.5160421,0.05366918,0.1526813,0.01234199
1550670_R_pacman,0.4984202,0.06309167,0.1268391,0.03267618
1550672_R_pacman,0.5427457,0.04501872,0.2936182,0.01670039
1550940_A_pacman,0.06700427,0.01310432,0.05078419,0.005695202
1550940_R_pacman,0.01635937,0.002477133,0.01403903,0.001410396
1551203_F_pacman,0.8508685,0.0435353,0.3528695,0.02944947
1551203_R_pacman,0,0,0,0
1551264_F_pacman,0.4420652,0.040146,0.235902,0.01617096
1551264_R_pacman,0,0,0,0
1551265_F_pacman,0.2809808,0.01184866,0.1760156,0.01248567
1551265_R_pacman,0,0,0,0
1551267_R_pacman,0.3644557,0.01919485,0.1932611,0.02439929
1551270_F_pacman,0.2977535,0.02186542,0.2017367,0.01301306
1551270_R_pacman,0,0,0,0
1551272_F_pacman,0.4387082,0.0158949,0.2585964,0.005453679
1551272_R_pacman,0,0,0,0
1551421_F_pacman,1.01993,0.01421817,0.4583613,0.007410281
1551421_R_pacman,0,0,0,0
1551618_IA_pacman,0.05227143,0.004348533,0.06134348,0.003317243
1551618_R_pacman,0.05131015,0.003280097,0.05705431,0.002804215
1551766_A_pacman,0.5411177,0.02788856,0.2899898,0.01242862
1551766_F_pacman,0.4138253,0.06717711,0.2075394,0.0291851
1551766_R_pacman,0,0,0,0
1551813_F_pacman,0.1633962,0.03321419,0.08494196,0.009989129
1551813_R_pacman,0,0,0,0
1551866_F_pacman,0.1403094,0.01844621,0.09055402,0.008823189
1551866_R_pacman,0.000148614,0.000409233,0.000322156,0.000163175
1551927_F_pacman,0.2393597,0.02605245,0.1430931,0.01774811
1551927_R_pacman,0.2471635,0.02772972,0.1478336,0.01905426
1552084_F_pacman,0.4658742,0.06912929,0.161991,0.01370442
1552084_R_pacman,0,0,0,0
1552959_A_pacman,0.2786854,0.01390098,0.2066015,0.0164127
1552959_R_pacman,0.1430502,0.05840182,0.089229,0.02993205
1552961_A_pacman,0.2220647,0.014616,0.1876312,0.007288026
1552961_R_pacman,0.1820606,0.03362203,0.07516196,0.01359183
1553676_F_pacman,0.2111541,0.01535267,0.1302442,0.005572749
1553676_R_pacman,0,0,0,0
1553677_F_pacman,0.1685533,0.01730491,0.1175834,0.002702992
1553677_R_pacman,0,0,0,0
1553679_F_pacman,0.1928664,0.01039685,0.1271083,0.0102563
1553679_R_pacman,0.1265421,0.02425997,0.06492035,0.017434
1553680_F_pacman,0.180044,0.006764283,0.1353052,0.00789064
1553680_R_pacman,6.89E-06,1.91E-05,0,0
1554166_A_pacman,0.09225512,0.002769712,0.09094532,0.00372514
1554166_F_pacman,0.06752531,0.001593506,0.07502104,0.004595186
1554166_R_pacman,0.00866935,0.001794642,0.01061808,0.002390215
1556423_IF_pacman,0.2016573,0.005751099,0.2118163,0.008394596
1556423_R_pacman,0,0,0,0
1556424_IA_pacman,0.1603642,0.007810811,0.1607677,0.004991287
1556424_IF_pacman,0.1664848,0.0057614,0.1576173,0.004419419
1556424_R_pacman,0,0,0,0
1556530_R_pacman,0.01650584,0.009131594,0.003029494,0.001431439
1556830_R_pacman,0.1050255,0.02134396,0.06041121,0.008739854
1557246_F_pacman,0.3063201,0.03741055,0.1865765,0.01090892
1557246_R_pacman,0.004750119,0.007202998,0.000172442,0.000381222
1557251_F_pacman,0.2936087,0.03098918,0.1514667,0.01212443
1557251_R_pacman,0,0,0,0
1557389_F_pacman,0.3642886,0.06242246,0.1568265,0.0157324
1557389_R_pacman,0.02326926,0.02559518,0.002067758,0.00284901
1557472_A_pacman,0.03072475,0.009648568,0.02260166,0.002839371
1557472_F_pacman,0.04183429,0.009997055,0.0296432,0.00232872
1557472_R_pacman,0,0,0,0
1557725_F_pacman,0.3996137,0.05065939,0.1322164,0.01562505
1557725_R_pacman,0.09699642,0.02818458,0.06666479,0.01375248
1558111_A_pacman,0.1617819,0.01459557,0.1344389,0.008702779
1558111_F_pacman,0.1540069,0.01360033,0.1333347,0.008970302
1558111_R_pacman,2.00E-05,5.56E-05,0.000154394,0.000145788
1558112_F_pacman,0.1893898,0.007879152,0.1497764,0.00758737
1558112_R_pacman,9.96E-07,2.76E-06,0.002781537,0.001544949
1558130_R_pacman,0.6063278,0.04358256,0.1744174,0.01825169
1558698_R_pacman,0.1216945,0.0131431,0.08519088,0.001879957
1558704_R_pacman,0.08993352,0.01317511,0.07093813,0.002490761
1558705_R_pacman,0.1203654,0.009207446,0.0678142,0.002151171
1558717_R_pacman,0.1151916,0.01615089,0.07277637,0.003729372
1558877_IF_pacman,0.5326089,0.0531635,0.2867179,0.01798038
1558877_R_pacman,0.331971,0.07674786,0.1406863,0.02070116
1558904_A_pacman,0.06880216,0.00551545,0.1455309,0.004322806
1558904_R_pacman,0.06736451,0.002431374,0.1413754,0.002590344
1558961_R_pacman,0.05055946,0.00499635,0.043686,0.004007119
1559677_R_pacman,0.1057233,0.02418236,0.06051895,0.01037315
1559678_R_pacman,0.9083442,0.0516726,0.1933133,0.0191544
1559680_R_pacman,0.897895,0.02999136,0.2480393,0.02037556
1560331_A_pacman,0.1458934,0.008022339,0.156428,0.005487749
1560331_R_pacman,0.2095804,0.02937664,0.1378545,0.004162208
1560332_A_pacman,0.2712303,0.01490755,0.1828682,0.00949108
1560332_R_pacman,0.1182794,0.02270443,0.08870013,0.01334826
1560349_A_pacman,0.3264882,0.04977775,0.1646101,0.008405089
1560349_F_pacman,0.2282246,0.02014332,0.1216868,0.01503691
1560349_R_pacman,0,0,0,0
1560420_R_pacman,0.7097528,0.04624047,0.2171861,0.01847093
1560429_A_pacman,0.2722342,0.01463803,0.1398293,0.004627682
1560429_R_pacman,0.0222967,0.002792689,0.02647205,0.001536287
1560430_A_pacman,0.3010176,0.01867999,0.171532,0.007371636
1560430_R_pacman,0.02667905,0.006442828,0.01401574,0.003119457
1560452_A_pacman,0.2685919,0.02753584,0.1152523,0.01279649
1560452_R_pacman,0.3001452,0.04639845,0.1087014,0.008349583
1560473_IF_pacman,0.0215037,0.001527459,0.03153623,0.002837217
1560473_R_pacman,0.008296977,0.000873412,0.01412249,0.001291147
1560476_IF_pacman,0.08979969,0.0104087,0.06739803,0.005431584
1560476_R_pacman,0.006690147,0.002108231,0.006274441,0.002170737
1560512_F_pacman,0.1689857,0.0162617,0.1186312,0.007459651
1560512_R_pacman,0,0,0,0
1560540_A_pacman,0.04555255,0.02051307,0.02171594,0.005493667
1560540_R_pacman,0,0,0,0
1560568_R_pacman,0.1058591,0.02228878,0.04802263,0.01123204
1560578_F_pacman,0.0908131,0.03783504,0.04941316,0.009612128
1560578_R_pacman,0.00038407,0.00072672,0.000127273,0.000244277
1560579_F_pacman,0.08676718,0.02560335,0.04530834,0.004086921
