name,KH,error
1545640_R_pacman,2.456339e-16,1.654081e-16
1546080_F_pacman,8.015029e-05,1.706006e-05
1546080_R_pacman,0.0002898591,9.130321e-05
1546081_F_pacman,0.0001214044,2.321384e-05
1546081_R_pacman,2.903552e-05,4.258605e-06
1546082_R_pacman,9.584465e-05,2.613619e-05
1546251_F_pacman,0.003157664,0.000480087
1546251_R_pacman,2.049201e-22,2.404546e-22
1546382_A_pacman,5613242.0,9163178.0
1546382_R_pacman,3.451294e-11,7.758156e-11
1546475_A_pacman,8360987000.0,7774759000.0
1546475_F_pacman,5.48863e-05,1.453386e-05
1546475_R_pacman,3.701778e-57,5.203048e-57
1546867_IA_pacman,2.065967,2.442107
1546867_R_pacman,0.01133733,0.003045456
1546870_IA_pacman,5.029305,4.320663
1546870_R_pacman,0.008164543,0.003036592
1546871_IA_pacman,3.80279,1.182367
1546871_R_pacman,0.005209602,0.001140492
1546872_IA_pacman,3.920996,4.71128
1546872_R_pacman,0.00873864,0.002824149
1546878_IA_pacman,9.874032,24.82573
1546878_R_pacman,0.005649864,0.0007262715
1547000_R_pacman,1.000236e-06,5.506292e-08
1547342_R_pacman,4.40253e-05,6.360542e-06
1547402_A_pacman,0.1439686,0.3875166
1547402_R_pacman,0.02620362,0.02553321
1547718_F_pacman,349.8911,416.5108
1547718_R_pacman,0.0003232937,0.0002887816
1547886_A_pacman,7.463335e-05,1.226851e-05
1547886_R_pacman,0.001348069,0.0006318244
1548032_F_pacman,1.638075e-05,3.82363e-06
1548032_R_pacman,9.919542e-17,1.182454e-16
1548036_F_pacman,1.060088e-05,1.228049e-06
1548036_R_pacman,8.914591e-06,2.293308e-07
1548217_R_pacman,6.198058e-06,1.312527e-07
1548220_F_pacman,1.045321e-05,5.002837e-07
1548220_R_pacman,1.568008e-14,1.41134e-14
1548243_F_pacman,7.801846e-06,4.940339e-07
1548243_R_pacman,6.190186e-07,4.948207e-07
1548264_A_pacman,7.477159e-06,1.330552e-06
1548264_R_pacman,0.001278079,9.684303e-05
1548273_R_pacman,0.0001723285,2.43081e-05
1548276_F_pacman,0.0001076135,3.488688e-05
1548276_R_pacman,4.443832e-14,4.707472e-14
1548310_R_pacman,0.5138259,0.09669358
1548335_R_pacman,1.554531e-05,4.472306e-07
1548396_A_pacman,0.004515077,0.004566582
1548396_R_pacman,0.001834499,0.0004827344
1548413_F_pacman,9.075164e-07,2.372693e-08
1548413_R_pacman,0.006556299,0.007846873
1548414_R_pacman,7.481012e-07,3.870607e-09
1548556_F_pacman,0.0001287396,1.249819e-05
1548556_R_pacman,3.05445e-15,2.443083e-15
1548978_F_pacman,1.887876e-05,5.567159e-07
1548978_R_pacman,8.856779e-65,2.400866e-64
1549535_IF_pacman,0.8742075,0.137415
1549535_R_pacman,1.464453e-07,2.773252e-08
1549539_F_pacman,1.474109e-05,9.923818e-07
1549539_R_pacman,1.829166e-18,4.297061e-18
1549549_A_pacman,363.3822,386.3296
1549549_F_pacman,0.001103299,0.0006905306
1549549_R_pacman,3.943221e-41,1.033139e-40
1549553_A_pacman,33.57618,29.74439
1549553_F_pacman,0.2378016,0.1536118
